planningScheme,total_dwelling_applications,total_permitted_dwellings,council_rejected_dwellings,council_approved_dwellings,council_rejected_dwellings_percent,council_refused_vcat_approved_dwellings,council_rejected_vcat_approved_percent,council_rejected_final_approved_percent
Surf Coast,10172.0,7554.0,1204.0,6271.0,11.84,2.0,0.17,14.45
Swan Hill,469.0,403.0,20.0,378.0,4.26,0,0.0,0.0
Towong,421.0,350.0,2.0,347.0,0.48,0.0,0.0,0.0
Wangaratta,1433.0,1268.0,52,740,3.63,0,0.0,0.0
Warrnambool,3684.0,3389.0,10,2528.0,0.27,2,0.0,0.0
Wellington,2397.0,2101.0,16.0,1961.0,0.67,0,0.0,0.0
West Wimmera,30.0,30.0,0.0,30.0,0.0,0,NULL,NULL
Whitehorse,74672.0,57473.0,11147.0,15275.0,14.93,534,4.79,73.2
Whittlesea,17890.0,13187.0,1712.0,12652.0,9.57,0,0.0,0.12
Wodonga,2933.0,2718.0,29.0,2665.0,0.99,0,0.0,0.0
Wyndham,18230.0,13508.0,1080.0,12395.0,5.92,10.0,0.93,18.7
Yarra,115744.0,83188.0,38250,16825.0,33.05,440,0.0,0.0
Yarra Ranges,12589.0,10061.0,1817.0,5362.0,14.43,206,11.34,59.11
Yarriambiack,153.0,130.0,0.0,112.0,0.0,0,NULL,NULL
